street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Nguyễn Sơn,Hòa Cường Nam,Hải Châu,Đà Nẵng,150.0,1,4,4,3,16.8,1
Lê Thị Xuyến,Chính Gián,Thanh Khê,Đà Nẵng,133.0,1,3,3,3,9.399,1
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,81.0,1,3,4,3,12.0,1
Nguyễn Xuân Nhĩ,Hòa Cường Nam,Hải Châu,Đà Nẵng,100.0,1,3,3,3,12.0,1
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,321.0,1,1,1,3,13.7,1
Nguyễn Hữu Thọ,Khuê Trung,Cẩm Lệ,Đà Nẵng,115.0,1,5,5,3,11.5,1
Phạm Vấn,Phước Mỹ,Sơn Trà,Đà Nẵng,87.0,1,11,11,6,16.8,1
Lê Thanh Nghị,Hòa Cường Nam,Hải Châu,Đà Nẵng,171.0,1,7,7,3,12.5,1
Lý Thái Tông,Hòa Minh,Liên Chiểu,Đà Nẵng,250.0,1,1,1,4,16.0,1
Dương Đình Nghệ,Phước Mỹ,Sơn Trà,Đà Nẵng,100.0,1,7,8,4,13.0,1
Võ Nguyên Giáp,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,140.0,1,25,25,9,60.0,1
Bùi Quốc Hưng,Thọ Quang,Sơn Trà,Đà Nẵng,7320.0,1,1,1,6,230.0,1
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,125.0,1,1,1,7,24.0,1
Hoàng Xuân Nhị,Hòa Cường Nam,Hải Châu,Đà Nẵng,118.0,1,6,5,4,9.9,1
Lý Thái Tổ,Thạc Gián,Thanh Khê,Đà Nẵng,395.0,1,45,46,6,60.0,1
Hoàng Diệu,Nam Dương,Hải Châu,Đà Nẵng,111.0,1,4,5,4,27.5,1
Bắc Sơn,Hòa An,Cẩm Lệ,Đà Nẵng,320.0,1,9,8,6,40.0,1
Cách Mạng Tháng 8,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,625.0,1,1,3,2,46.0,1
Huỳnh Tấn Phát,Hòa Cường Nam,Hải Châu,Đà Nẵng,200.0,1,18,18,5,27.0,1
Núi Thành,Hòa Cường Nam,Hải Châu,Đà Nẵng,147.0,1,20,21,8,28.0,1
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,166.0,1,6,6,3,31.5,1
Cao Bá Quát,An Hải Tây,Sơn Trà,Đà Nẵng,111.0,1,4,4,3,11.0,1
Huy Cận,Khuê Trung,Cẩm Lệ,Đà Nẵng,143.0,1,7,5,3,9.5,1
Khuê Mỹ Đông 7,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,102.0,1,11,12,7,17.0,1
Nguyễn Mậu Tài,Hòa Xuân,Cẩm Lệ,Đà Nẵng,135.0,1,10,10,4,8.799,1
Đinh Thị Hòa,An Hải Bắc,Sơn Trà,Đà Nẵng,164.0,1,11,11,7,22.999,1
Lê Tấn Toán,Phước Mỹ,Sơn Trà,Đà Nẵng,85.0,1,14,14,8,18.499,1
Nguyễn Chí Thanh,Hải Châu 1,Hải Châu,Đà Nẵng,144.0,1,14,15,5,25.0,1
2 Tháng 9,Bình Hiên,Hải Châu,Đà Nẵng,135.0,1,4,4,2,10.5,1
Núi Thành,Hòa Thuận Đông,Hải Châu,Đà Nẵng,200.0,1,10,10,5,38.0,1
An Thượng 5,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,70.0,1,10,10,6,16.0,1
Ngô Thì Sĩ,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,195.0,1,3,2,2,42.0,1
Lê Phụng Hiểu,An Hải Bắc,Sơn Trà,Đà Nẵng,185.0,1,4,4,3,12.7,1
Mỹ Khê 4,Phước Mỹ,Sơn Trà,Đà Nẵng,450.0,1,4,3,2,48.5,1
